"price","salepoint_name","salepoint_address","lon","lat","id","name_org","source_code","white_brand_id"
"29.05","Пятерочка","Цвиллинга, 66б","61.4120205436554","55.1468843574831",45,"Пятерочка",126,19
"42.9","Пятерочка Макси","Черкасская, 15","61.3781282278001","55.2302719587",45,"Пятерочка",136,21
"42.9","Пятерочка","Черкасская, 4 / Комаровского, 1","61.3786545189","55.2408202655",45,"Пятерочка",136,21
"42.9","Пятерочка","Богдана Хмельницкого, 27 / Липецкая, 6","61.3843924938","55.2581408759",45,"Пятерочка",136,21
"42.9","Пятерочка","Богдана Хмельницкого, 14 / Жукова, 5","61.3920648458","55.2586958445",45,"Пятерочка",136,21
"42.9","Пятерочка","60 лет Октября, 10","61.3988989603","55.2646014324",45,"Пятерочка",136,21
"42.9","Пятерочка","Трудовая, 10","61.3949824993","55.2682232057",45,"Пятерочка",136,21
"42.9","Пятерочка","Сталеваров, 60","61.4028448539","55.2526731996",45,"Пятерочка",136,21
"42.9","Пятерочка","50 лет ВЛКСМ, 11","61.3878865611","55.2440419947",45,"Пятерочка",136,21
"42.9","Дикси","Приборостроителей, 1","61.4002189372795","55.2709411807007",48,"Дикси",136,21
"42.9","Дикси","Сталеваров, 47а","61.4045440068001","55.2451592384",48,"Дикси",136,21
"43.49","Молния","Гагарина, 40","61.433438","55.128434",47,"Молния",136,21
"43.49","Молния Экспресс на Дзержинского","Дзержинского, 130","61.4254422","55.1340545",47,"Молния",136,21
"33.9","Пятерочка","Степана Разина 4","61.411804","55.1416293",45,"Пятерочка",136,21
"33.9","Пятерочка","Цвиллинга, 66б","61.4120205436554","55.1468843574831",45,"Пятерочка",136,21
"38.9","Дикси","50 лет ВЛКСМ, 37","61.3801714121","55.2369371115",48,"Дикси",139,22
"38.9","Дикси","50 лет ВЛКСМ, 6а","61.3877462314999","55.2462400772",48,"Дикси",139,22
"38.9","Дикси","Комаровского, 7а","61.3755823409999","55.2408902893",48,"Дикси",139,22
"38.9","Дикси","Металлургов шоссе, 47в","61.3717543501","55.2448357413",48,"Дикси",139,22
"38.9","Дикси","Дружбы, 3","61.3785632338","55.2497521345",48,"Дикси",139,22
"38.9","Дикси","Социалистическая, 66 / Румянцева, 29","61.3802748077001","55.2531984417",48,"Дикси",139,22
"38.9","Дикси","60 лет Октября, 26","61.3897507112999","55.2645003678",48,"Дикси",139,22
"38.9","Дикси","Сталеваров, 40 / Богдана Хмельницкого, 3","61.4022741276","55.2576664235",48,"Дикси",139,22
"24.4","Проспект","Воровского, 6","61.3950878000001","55.1573883",89,"Проспект",139,22
