777,ftp://upload.v-zabote.ru/data/pricelists/org-122/index.xml
Вавилон,ftp://upload.v-zabote.ru/data/pricelists/org-123/index.xml
Миг,ftp://upload.v-zabote.ru/data/pricelists/org-124/index.xml
5+,ftp://upload.v-zabote.ru/data/pricelists/org-125/index.xml
ИП Куркина О.В.,ftp://upload.v-zabote.ru/data/pricelists/org-126/index.xml
"АЗС ООО ""Инкерман"" ИП Набатова",ftp://upload.v-zabote.ru/data/pricelists/org-127/index.xml
"ИП Проводин ООО""УралТракПром""",ftp://upload.v-zabote.ru/data/pricelists/org-128/index.xml
Бисарабский,ftp://upload.v-zabote.ru/data/pricelists/org-129/index.xml
recall3_organ,ftp://upload.v-zabote.ru/data/pricelists/org-130/index.xml
Девятка,ftp://upload.v-zabote.ru/data/pricelists/org-131/index.xml
Новороссийский,ftp://upload.v-zabote.ru/data/pricelists/org-132/index.xml
Универсам Металлург,ftp://upload.v-zabote.ru/data/pricelists/org-133/index.xml
"Мельница, сеть супермаркетов",ftp://upload.v-zabote.ru/data/pricelists/org-134/index.xml
Градский,ftp://upload.v-zabote.ru/data/pricelists/org-135/index.xml
SPAR,ftp://upload.v-zabote.ru/data/pricelists/org-136/index.xml
ИП Исаев Ю.В.,ftp://upload.v-zabote.ru/data/pricelists/org-137/index.xml
Ликард,ftp://upload.v-zabote.ru/data/pricelists/org-138/index.xml
ИП Седов,ftp://upload.v-zabote.ru/data/pricelists/org-139/index.xml
Баррель,ftp://upload.v-zabote.ru/data/pricelists/org-140/index.xml
